眾人 小心~~!
0 面對背後的喧嘩你毫無反應，彷彿沒有聽見
0 所有人都想著完蛋了
0 然而就在球即將砸到你的後腦勺的前一刻
0 你突然一個轉身，如同神靈附體一般
0 反手一掏便將高速飛來的球接下
0 整個動作行雲流水，一氣呵成
0 來撿球的女學生在你面前愣住了
0 震驚的眼神以及意識過來之後微紅的臉頰
0 你微微一笑，將球拋給了她並瀟灑轉身，邁著六親不認的步伐離開了，只留下女孩愣怔的看著你的背影。
0 (過了一會兒)
你 不知道她有沒有愛上我呢~~?
0 你一邊做著不切實際的幻想，一邊小跳步走在路上
0 突然你感到一陣天旋地轉，四肢脫力
0 原來這是強行使用見聞色霸氣的副作用
你 是帥氣的代價阿
0 你單膝跪地，手扶著有些猙獰的臉龐
你 可...可惡
0 阻止不了意識的淡出，你倒在了地上，就這麼昏了過去
0 (過場音樂)
0 溫暖的春風拂過粉色的窗簾，你在一個床上醒來
0 勉強睜開還無法對焦的眼睛，你看到了一個模糊的粉色身影
0 那人見你醒了，便朝你床邊走來
你 這裡是...天國嗎
護士 呵呵，不是喔~
0 你往身音來源看去，二人拉近使你看清了那人的樣貌
0 一身的護士裝扮，就女性來說偏高的身材，以及充滿慈愛的眼神
0 你直覺說出了想到的話
你 …媽媽
護士 真抱歉，我也不是你媽媽喔
0 原來是醫護室的真冬老師
0 隨著智商重新上線，你意識到了自己講了什麼蠢話
0 你羞紅了臉並嘗試坐起來，卻感到一陣劇痛流過全身，使你又倒回了床上
真冬 啊啊，你還不能亂動，雖然我查不出原因，但是你現在還很虛弱
0 畢竟是使用超能力的副作用，當然查不出來了
真冬 總之你先好好休息一下吧，有什麼事的話我就在旁邊
0 說完這些護士小姐便離開回到位置上了
0 你環顧四週，偌大的醫護室中只有你一個傷患
0 看來今天的校園也很和平呢
0 你一邊這麼想著一邊用腳踢了踢被子
0 這被子是真的短，蓋身體就蓋不到腳了
0 就在你和被子纏鬥時，又一陣劇痛席捲而來
你 RRRRRRR幹
0 這就是裝逼的代價嗎
0 你在床上痛苦的喘息著
0 似乎是動靜太大，護士小姐一臉擔心的走過來了
真冬 睡不著嗎?
你 額額~阿~嗯，有一點
0 你決定還是不要說什麼跟被子有關的笨蛋話
真冬 不然...我哄你吧
你 …蛤
真冬 不行嗎...?
你 這是護士的服務之一嗎
真冬 畢竟我查不出你的病情，能為你做的也不多，真是失職呢
0 老師低下頭，露出了有些難過的表情
0 也許是因為讓老師難過了，你感到了些許愧疚
0 但是又不能跟人家說什麼超能力的副作用，肯定會被當成中二病
0 想到了這些，你只好同意了老師的提議
真冬 嘿嘿，好的
0 真冬老師一邊摸著你的頭，一邊輕輕唱起了搖籃曲
0 在一片祥和的氣氛中，你又沉沉睡去
0 (過場音樂)
0 (隔天)
0 結果你直接睡到了隔天早上
0 在老師慈愛的眼神中，你趕緊衝出了醫務室，回家盥洗並重新來到學校
你 真是丟臉啊
0 以後去醫務室時不知道會被用什麼眼神看待
0 坐在自己的位置上，你開始為自己的未來形象擔憂
0 就在這時，兩名同學找到你，原來是一對班對想要翹課出去約會
0 但是男的是圖書委員，女的是保健委員，所以他們都想請你今天代他們工作
0 該死的情侶
0 你要選擇
choose 體育委員
choose 保健委員
